City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Kedougou,SN,88.38,clear sky,12.5579,-12.1743,Relais de Kédougou
533,Jacqueville,CI,85.91,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
541,Guarapari,BR,84.09,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
550,Rio Branco,BR,83.01,broken clouds,-9.9747,-67.81,Inácio Palace Hotel
552,Natal,BR,88.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
557,Port Blair,IN,76.91,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
558,Dakar,SN,86.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
559,Tres Arroyos,AR,82.38,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
560,San Luis,AR,85.01,overcast clouds,-33.295,-66.3356,Huarpes Hotel
562,Trairi,BR,87.85,scattered clouds,-3.2778,-39.2689,janelas do mar
572,Macas,EC,78.55,light rain,-2.3167,-78.1167,Casa Upano
575,Muli,MV,82.71,broken clouds,2.9167,73.5667,Medhufushi Island Resort
577,Pontes E Lacerda,BR,79.23,overcast clouds,-15.2261,-59.3353,Hotel Bressan
586,Kaduqli,SD,79.27,scattered clouds,11.0167,29.7167,فندق الله جابو
588,Iracoubo,GF,75.36,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
589,Carutapera,BR,88.97,overcast clouds,-1.195,-46.02,Lidera
590,Cururupu,BR,89.35,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
592,Curitibanos,BR,82.63,scattered clouds,-27.2828,-50.5844,Tortato Palace Hotel
595,Padang,ID,76.66,light rain,-0.9492,100.3543,Mercure Padang
599,Imbituba,BR,80.49,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
603,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
610,Canarana,BR,82.36,broken clouds,-11.6847,-41.7689,POSTO E POUSADA CANARANA
619,Bosaso,SO,76.5,broken clouds,11.2842,49.1816,Red Sea Hotel
623,Humaita,BR,76.32,light rain,-7.5061,-63.0208,Corrêa Hotel
626,Calamar,CO,84.15,broken clouds,10.2511,-74.9146,Hostal Katyalex
630,Remanso,BR,83.75,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
643,Cancun,MX,77.05,few clouds,21.1743,-86.8466,Hotel Tankah Cancun
644,Iguape,BR,82.98,clear sky,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
648,Formosa,AR,84.18,overcast clouds,-26.1775,-58.1781,Hotel Portal del Sol
650,Sao Felix Do Xingu,BR,86.54,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
653,Mahajanga,MG,84.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
671,Domoni,KM,81.95,overcast clouds,-12.2569,44.5319,Al Djadid
674,Bodden Town,KY,82.0,broken clouds,19.2833,-81.25,Will T Place
680,Isabela,PH,77.59,overcast clouds,6.7085,121.9711,Isawad Resort
683,Rondonopolis,BR,77.4,overcast clouds,-16.4708,-54.6356,Serras Hotel
690,Nkoteng,CM,82.76,few clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
702,Kalmunai,LK,78.33,scattered clouds,7.4167,81.8167,VS Villa
704,Trelew,AR,84.9,scattered clouds,-43.249,-65.3051,Hotel Touring Club
708,Posse,BR,77.99,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
712,Acarau,BR,88.54,few clouds,-2.8856,-40.12,castelo pizzaria
713,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
717,Jaragua,BR,84.42,broken clouds,-15.7569,-49.3344,Danbury Hotel
719,Ourossogui,SN,87.8,clear sky,15.6064,-13.3211,Hotel welma
722,Barra,BR,84.13,scattered clouds,-11.0894,-43.1417,Motel Albatroz
