City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Zlitan,LY,32.4674,14.5687,60.69,40,10,2.01,clear sky
79,Nouadhibou,MR,20.931,-17.0347,70.9,58,0,9.46,clear sky
80,Narsaq,GL,60.9167,-46.05,48.42,54,100,16.87,overcast clouds
81,Manacapuru,BR,-3.2997,-60.6206,88.38,56,93,4.29,light rain
82,Birao,CF,10.2849,22.7882,78.87,20,85,5.73,overcast clouds
83,Ciudad Bolivar,VE,8.1222,-63.5497,89.4,52,98,8.81,overcast clouds
84,Koplik,AL,42.2136,19.4364,42.33,50,19,3.71,few clouds
85,Belmonte,BR,-15.8631,-38.8828,81.1,83,67,12.64,broken clouds
86,Ferrol,ES,43.4832,-8.2369,63.27,68,88,9.24,overcast clouds
87,Bathsheba,BB,13.2167,-59.5167,86.61,62,40,23.02,scattered clouds
88,Nadym,RU,65.5333,72.5167,22.24,95,100,17.6,light snow
89,Port-Cartier,CA,50.0334,-66.8654,16.75,75,100,18.63,light snow
90,Umm Lajj,SA,25.0213,37.2685,71.19,42,2,17.11,clear sky
91,Jamestown,US,42.097,-79.2353,27.99,81,90,10.0,light snow
92,Hambantota,LK,6.1241,81.1185,78.04,80,64,7.65,broken clouds
93,Mogadishu,SO,2.0371,45.3438,79.77,78,97,18.84,overcast clouds
94,De Aar,ZA,-30.6497,24.0123,62.38,77,40,14.97,thunderstorm with light rain
95,Surt,LY,31.2089,16.5887,59.85,46,41,2.68,scattered clouds
96,Grindavik,IS,63.8424,-22.4338,36.07,87,75,5.75,broken clouds
97,Cidreira,BR,-30.1811,-50.2056,76.44,61,2,15.82,clear sky
98,Hithadhoo,MV,-0.6,73.0833,81.84,73,98,4.83,overcast clouds
99,Carauari,BR,-4.8828,-66.8958,84.72,74,100,3.06,overcast clouds
100,Kodoli,IN,16.8833,74.2,67.01,64,0,3.69,clear sky
101,Ashqelon,IL,31.6693,34.5715,58.41,70,93,9.19,overcast clouds
102,Sept-Iles,CA,50.2001,-66.3821,17.06,71,90,10.0,light snow
103,Bardiyah,LY,31.7561,25.0865,58.41,70,0,10.47,clear sky
104,Kruisfontein,ZA,-34.0033,24.7314,67.89,88,100,11.23,light rain
105,Oparino,RU,59.8518,48.2783,-7.55,100,97,3.6,overcast clouds
106,Cayenne,GF,4.9333,-52.3333,77.04,92,90,5.99,heavy intensity rain
107,Joniskis,LT,56.2403,23.6153,11.32,92,59,5.75,broken clouds
108,Rundu,NA,-17.9333,19.7667,81.63,44,90,3.31,overcast clouds
109,Nema,RU,57.5067,50.5011,-17.7,100,59,3.62,broken clouds
110,Saldanha,ZA,-33.0117,17.9442,66.51,86,65,11.41,broken clouds
111,Bombay,IN,19.0144,72.8479,78.78,69,0,4.61,haze
